Order_ID,Order_Date,Category,Product,Region,Customer_Segment,Quantity,Unit_Price,Sales,Profit
1,2025-04-25 00:00:00,Electronics,Laptop,East,Consumer,3,370.87,1112.61,243.86
2,2025-01-16 00:00:00,Electronics,Monitor,West,Consumer,2,117.13,234.26,41.31
3,2025-11-29 00:00:00,Electronics,Monitor,South,Small Business,7,118.02,826.14,163.01
4,2025-05-23 00:00:00,Electronics,Headphones,West,Corporate,3,115.5,346.5,83.46
5,2025-07-03 00:00:00,Electronics,Laptop,West,Consumer,6,305.83,1834.98,462.02
6,2025-02-10 00:00:00,Accessories,Wallet,North,Corporate,5,416.41,2082.05,426.05
7,2025-02-05 00:00:00,Office Supplies,File Folder,South,Small Business,1,334.02,334.02,81.26
8,2025-05-23 00:00:00,Electronics,Headphones,North,Corporate,8,321.49,2571.92,363.18
9,2025-05-17 00:00:00,Office Supplies,Printer Paper,South,Small Business,2,308.47,616.94,57.24
10,2025-05-19 00:00:00,Furniture,Desk,West,Corporate,4,345.46,1381.84,360.26
11,2025-07-25 00:00:00,Electronics,Headphones,North,Corporate,5,42.43,212.15,59.04
12,2025-11-26 00:00:00,Office Supplies,Pen,West,Corporate,8,80.01,640.08,54.35
13,2025-07-24 00:00:00,Office Supplies,File Folder,West,Small Business,6,117.47,704.82,211.01
14,2025-03-20 00:00:00,Accessories,Backpack,North,Consumer,3,398.12,1194.36,185.77
15,2025-08-28 00:00:00,Electronics,Mouse,West,Small Business,5,485.83,2429.15,644.2
16,2025-06-24 00:00:00,Electronics,Laptop,East,Small Business,2,153.82,307.64,27.55
17,2025-02-24 00:00:00,Electronics,Keyboard,South,Small Business,5,422.42,2112.1,373.66
18,2025-10-04 00:00:00,Furniture,Desk,East,Consumer,1,303.48,303.48,52.24
19,2025-01-30 00:00:00,Electronics,Keyboard,East,Consumer,4,440.22,1760.88,504.91
20,2025-03-06 00:00:00,Electronics,Mouse,North,Small Business,3,333.28,999.84,286.67
21,2025-10-04 00:00:00,Furniture,Bookshelf,West,Consumer,4,359.34,1437.36,215.24
22,2025-05-07 00:00:00,Office Supplies,Stapler,West,Consumer,4,41.37,165.48,9.14
23,2025-02-06 00:00:00,Furniture,Sofa,South,Consumer,1,122.18,122.18,33.77
24,2025-12-09 00:00:00,Office Supplies,Notebook,South,Corporate,8,114.98,919.84,76.42
25,2025-04-08 00:00:00,Accessories,Water Bottle,West,Corporate,2,57.5,115,18.14
26,2025-01-28 00:00:00,Accessories,Phone Stand,West,Small Business,2,39.7,79.4,18.43
27,2025-10-02 00:00:00,Electronics,Headphones,South,Consumer,8,78.69,629.52,60.35
28,2025-10-09 00:00:00,Accessories,Water Bottle,North,Corporate,2,34.79,69.58,20.86
29,2025-07-28 00:00:00,Electronics,Laptop,South,Consumer,8,245.87,1966.96,523.53
30,2025-07-19 00:00:00,Electronics,Headphones,West,Consumer,5,463.99,2319.95,571.36
31,2025-04-08 00:00:00,Office Supplies,Stapler,West,Consumer,5,116.67,583.35,37.7
32,2025-10-27 00:00:00,Electronics,Keyboard,North,Consumer,8,256.4,2051.2,539.83
33,2025-02-05 00:00:00,Furniture,Chair,North,Consumer,2,340.85,681.7,74.17
34,2025-11-01 00:00:00,Electronics,Monitor,South,Small Business,1,313.5,313.5,48.53
35,2025-06-10 00:00:00,Office Supplies,Printer Paper,South,Small Business,4,140.15,560.6,46.37
36,2025-01-05 00:00:00,Office Supplies,Stapler,East,Consumer,8,314.37,2514.96,479.72
37,2025-05-16 00:00:00,Electronics,Laptop,South,Small Business,3,467.3,1401.9,378.82
38,2025-08-13 00:00:00,Furniture,Bookshelf,East,Consumer,5,309.72,1548.6,459.64
39,2025-02-23 00:00:00,Electronics,Monitor,East,Small Business,3,139.59,418.77,114.08
40,2025-04-18 00:00:00,Furniture,Bookshelf,East,Small Business,6,109.76,658.56,137.35
